180d_absolute_return,180d_btc_relative_return,180d_mae,180d_mfe,180d_time_to_mfe_days,30d_absolute_return,30d_btc_relative_return,30d_mae,30d_mfe,30d_time_to_mfe_days,365d_absolute_return,365d_btc_relative_return,365d_mae,365d_mfe,365d_time_to_mfe_days,90d_absolute_return,90d_btc_relative_return,90d_mae,90d_mfe,90d_time_to_mfe_days,btc_rel30,distance_90d_high,ret30,ret90,stage,symbol,t,taker_buy_share_7d,universe_rank,universe_size,utc,volume_ratio_7d
-0.16393442622950816,-0.5802360782979938,-0.41217798594847777,0.15222482435597184,7,-0.29508196721311475,-0.07418658540263923,-0.41217798594847777,0.15222482435597184,7,-0.010655737704918122,-0.6697829607699644,-0.4461358313817331,0.15222482435597184,7,0.021077283372365363,-0.08774183773815691,-0.41217798594847777,0.15222482435597184,7,0.04835520633440393,-0.2625215889464594,0.1105331599479844,-0.12499999999999989,PRE_MOVE,AAVEUSDT,1667001600000,0.5093864454777044,50,100,2022-10-29,1.6028300388786811
0.043214756258234566,-0.4578279582928113,-0.37681159420289867,0.25823451910408424,36,0.08563899868247704,0.04655271250242943,-0.040843214756258295,0.24505928853754932,20,0.3098814229249012,-0.6816484898593043,-0.37681159420289867,0.7111989459815544,348,0.08695652173913038,-0.3669707659813668,-0.15810276679841906,0.25823451910408424,36,0.03897023169245406,-0.22865853658536583,0.24630541871921197,0.0013192612137205018,PRE_MOVE,AAVEUSDT,1673654400000,0.5056423380883668,45,100,2023-01-14,3.0022956647752173
-0.07279851515776448,-0.7715329616969512,-0.2782016910703238,0.5850690864095689,123,-0.055269127655186656,-0.16632218448254998,-0.14611260053619302,0.09300886780779538,22,0.9597855227882037,-0.20477170856110916,-0.2782016910703238,1.0570220664054446,364,-0.09661785935244382,-0.36601645886766065,-0.16013611053825527,0.3392452051969477,47,0.1528052054236999,-0.11836363636363634,0.5403430749682339,0.4772277227722772,PRE_MOVE,AAVEUSDT,1699660800000,0.5360806423803637,29,100,2023-11-11,1.4860992651114868
0.9068749087724417,0.374618340082598,-0.1534082615676544,1.918187125967012,114,0.2549262881331191,0.2676609838429099,-0.1534082615676544,0.3190775069332943,30,1.5446650124069476,0.7756675170436196,-0.16763976061888786,1.918187125967012,114,0.2659465771420231,-0.275459420425507,-0.1534082615676544,0.45591884396438465,77,0.5017956143319482,-0.07898097734758347,0.4768269023496443,0.2502965599051008,PRE_MOVE,AAVEUSDT,1724457600000,0.5086483281410169,22,100,2024-08-24,1.680146647612596
0.6627486437613019,0.3547874173501413,-0.06690777576853535,3.644665461121157,33,2.837251356238698,2.746894497891337,-0.06690777576853535,3.113924050632911,30,0.639240506329114,-0.18577491049574446,-0.06690777576853535,3.644665461121157,33,1.970162748643761,1.7735608143534505,-0.06690777576853535,3.644665461121157,33,0.054481219060380504,-0.30000000000000004,0.40891719745222943,-0.01338090990187324,PRE_MOVE,ACHUSDT,1674259200000,0.5120324629723332,72,100,2023-01-21,7.469212609768083
-0.39445420816246834,-0.33504457213494854,-0.5329037297402851,0.015231400117164728,1,-0.21655926576840456,-0.10031617276450677,-0.22241749658269871,0.015231400117164728,1,-0.513766842413591,-0.7074662207492972,-0.5703964069517673,0.015231400117164728,1,-0.3911345440343682,-0.18235271595886682,-0.42335481351298576,0.015231400117164728,1,0.06119299640798781,-0.1390383322125084,-0.034320196115406376,0.044249592169657515,PRE_MOVE,ADAUSDT,1662768000000,0.5024391383844764,7,100,2022-09-10,1.355206619603871
-0.37118226600985216,-0.4520309198923097,-0.458128078817734,0.13719211822660093,56,-0.18201970443349758,-0.30726598010391737,-0.2669950738916257,0.015270935960591148,1,0.5253694581280786,-0.5912989339399468,-0.458128078817734,0.6748768472906403,299,-0.09334975369458143,-0.1846259214360716,-0.2669950738916257,0.13719211822660093,56,0.03257397399445705,-0.03631616425350104,0.2015389168393018,0.3012820512820513,PRE_MOVE,ADAUSDT,1676678400000,0.5066148095283101,18,100,2023-02-18,1.2120353674453184
-0.4559929234851835,-0.33929216438527654,-0.5134896063688633,0.012605042016806678,1,-0.18863334807607246,-0.08521890038834479,-0.2293233082706767,0.012605042016806678,1,0.033392304290137176,-1.134016341797397,-0.5134896063688633,0.7921273772666961,334,-0.27532065457762056,-0.2758791609230382,-0.5134896063688633,0.012605042016806678,1,0.17995012659541731,-0.020576131687242816,0.39181286549707584,0.2894211576846306,PRE_MOVE,ADAUSDT,1681516800000,0.5048065420752722,12,100,2023-04-15,1.4282071402472865
-0.4305735790293277,-0.9260631274027851,-0.5852582403322086,0.17752400726706474,42,-0.18323384375811058,-0.20486223624245292,-0.2569426420970672,0.04178562159356347,1,-0.7373475214118868,-1.1246459543285645,-0.7871788216973786,0.17752400726706474,42,-0.5593044381001817,-0.44609389926664134,-0.5725408772385154,0.17752400726706474,42,0.37702689344762386,-0.060243902439024444,0.2546401823510258,0.16019271303824145,PRE_MOVE,ALGOUSDT,1663977600000,0.5012701522039223,36,100,2022-09-24,3.783789085474204
-0.5824486907289455,-0.9363929623200771,-0.6230242981835339,0.05944798301486198,1,-0.44232130219391363,-0.23888711611235347,-0.46732719981127624,0.05944798301486198,1,-0.7140835102618541,-1.3578823644063662,-0.806558150507195,0.05944798301486198,1,-0.36069827789573006,-0.4608200185857131,-0.6230242981835339,0.05944798301486198,1,0.14719836647567197,-0.06568216883403133,0.21426525350902303,0.19106490587243607,PRE_MOVE,ALGOUSDT,1667606400000,0.5024426022656475,35,100,2022-11-05,3.079911837638758
